# Event	Time [ms]	ADC	datum
1	1	0	8191
1	1	1	66
1	1	2	1663
1	1	3	1533
2	14	0	8191
2	14	1	0
2	14	2	1665
2	14	3	1567
3	58	2	1681
3	58	3	1614
4	62	0	8191
4	62	1	0
4	62	2	1667
4	62	3	1563
5	63	0	8184
5	63	1	0
5	63	2	1443
5	63	3	1827
6	67	0	4489
6	67	1	0
6	67	2	1581
6	67	3	1558
7	91	0	1210
7	91	1	0
7	91	2	1657
7	91	3	1526
8	99	0	4082
8	99	1	0
8	99	2	1597
8	99	3	1543
9	142	0	3263
9	142	1	63
9	142	2	1596
9	142	3	1527
10	142	0	6542
10	142	1	43
10	142	2	1558
10	142	3	1643
11	152	0	8191
11	152	1	0
11	152	2	1656
11	152	3	1535
12	155	2	1614
12	155	3	1519
13	175	0	2032
13	175	1	0
13	175	2	1633
13	175	3	1517
14	191	0	395
14	191	1	0
14	191	2	1653
14	191	3	1532
15	200	0	398
15	200	1	0
15	200	2	1657
15	200	3	1518
16	216	0	8191
16	216	1	48
16	216	2	1668
16	216	3	1533
17	221	0	1620
17	221	1	0
17	221	2	1637
17	221	3	1519
18	235	0	8191
18	235	1	0
18	235	2	1653
18	235	3	1550
19	255	0	4080
19	255	1	0
19	255	2	1587
19	255	3	1551
20	280	0	8191
20	280	1	0
20	280	2	1583
20	280	3	1727
21	302	0	8191
21	302	1	0
21	302	2	1557
21	302	3	1699
22	343	0	6952
22	343	1	77
22	343	2	1560
22	343	3	1663
23	352	0	8191
23	352	1	0
23	352	2	1560
23	352	3	1705
24	353	0	6133
24	353	1	0
24	353	2	1561
24	353	3	1626
25	366	0	8191
25	366	1	35
25	366	2	1659
25	366	3	1530
26	368	0	8191
26	368	1	53
26	368	2	1671
26	368	3	1553
27	371	0	4901
27	371	1	39
27	371	2	1472
27	371	3	1819
28	387	2	1558
28	387	3	1696
29	394	2	1678
29	394	3	1621
30	403	0	6131
30	403	1	0
30	403	2	1565
30	403	3	1623
31	413	2	1671
31	413	3	1607
32	464	0	8191
32	464	1	32
32	464	2	1680
32	464	3	1565
33	480	0	4900
33	480	1	0
33	480	2	1579
33	480	3	1578
34	485	2	1663
34	485	3	1599
35	494	0	3670
35	494	1	195
35	494	2	1592
35	494	3	1537
36	497	0	8191
36	497	1	0
36	497	2	1668
36	497	3	1582
37	527	0	8191
37	527	1	48
37	527	2	1674
37	527	3	1580
38	552	0	6955
38	552	1	0
38	552	2	1550
38	552	3	1659
39	580	2	1654
39	580	3	1537
40	590	0	2851
40	590	1	0
40	590	2	1617
40	590	3	1519
